nomecurto;ear_data;ear_max_bacia;ear_verif_bacia_mwmes;ear_verif_bacia_percentual
AMAZONAS;2012-01-01;312.0;64.0;20.479999542236328
CAPIVARI;2012-01-01;385.0;303.0;78.66999816894531
DOCE;2012-01-01;13.0;12.0;95.41000366210938
GRANDE;2012-01-01;51488.0;33719.0;65.48999786376953
IGUACU;2012-01-01;10248.0;6233.0;60.81999969482422
JACUI;2012-01-01;3197.0;2154.0;67.37999725341797
JEQUITINHONHA;2012-01-01;3024.0;2580.0;85.30999755859375
PARAGUACU;2012-01-01;304.0;104.0;34.18000030517578
PARAGUAI;2012-01-01;563.0;249.0;44.2400016784668
PARAIBA DO SUL;2012-01-01;7360.0;4893.0;66.4800033569336
PARANA;2012-01-01;6059.0;3476.0;57.369998931884766
PARANAIBA;2012-01-01;75422.0;43646.0;57.869998931884766
PARANAPANEMA;2012-01-01;11598.0;7846.0;67.6500015258789
PARNAIBA;2012-01-01;264.0;90.0;34.08000183105469
SAO FRANCISCO;2012-01-01;52835.0;31017.0;58.709999084472656
TIETE;2012-01-01;7353.0;3806.0;51.7599983215332
TOCANTINS;2012-01-01;47794.0;27718.0;58.0
URUGUAI;2012-01-01;5905.0;2513.0;42.560001373291016
AMAZONAS;2012-01-02;312.0;65.0;20.809999465942383
CAPIVARI;2012-01-02;385.0;306.0;79.44999694824219
DOCE;2012-01-02;13.0;12.0;95.41000366210938
GRANDE;2012-01-02;51488.0;34133.0;66.29000091552734
IGUACU;2012-01-02;10248.0;6231.0;60.79999923706055
JACUI;2012-01-02;3197.0;2145.0;67.0999984741211
JEQUITINHONHA;2012-01-02;3024.0;2592.0;85.70999908447266
PARAGUACU;2012-01-02;304.0;104.0;34.18000030517578
PARAGUAI;2012-01-02;563.0;255.0;45.310001373291016
PARAIBA DO SUL;2012-01-02;7360.0;4930.0;66.9800033569336
PARANA;2012-01-02;6059.0;3490.0;57.599998474121094
PARANAIBA;2012-01-02;75422.0;44207.0;58.61000061035156
PARANAPANEMA;2012-01-02;11598.0;7851.0;67.69000244140625
PARNAIBA;2012-01-02;264.0;90.0;34.08000183105469
SAO FRANCISCO;2012-01-02;52835.0;31390.0;59.40999984741211
TIETE;2012-01-02;7353.0;3866.0;52.56999969482422
TOCANTINS;2012-01-02;47794.0;27832.0;58.22999954223633
URUGUAI;2012-01-02;5905.0;2517.0;42.630001068115234
AMAZONAS;2012-01-03;312.0;66.0;21.1299991607666
CAPIVARI;2012-01-03;385.0;307.0;79.70999908447266
DOCE;2012-01-03;13.0;11.0;87.45999908447266
GRANDE;2012-01-03;51488.0;34743.0;67.4800033569336
IGUACU;2012-01-03;10248.0;6215.0;60.650001525878906
JACUI;2012-01-03;3197.0;2135.0;66.79000091552734
JEQUITINHONHA;2012-01-03;3024.0;2616.0;86.5
PARAGUACU;2012-01-03;304.0;103.0;33.849998474121094
PARAGUAI;2012-01-03;563.0;257.0;45.65999984741211
PARAIBA DO SUL;2012-01-03;7360.0;4960.0;67.38999938964844
PARANA;2012-01-03;6059.0;3469.0;57.25
PARANAIBA;2012-01-03;75422.0;44730.0;59.310001373291016
PARANAPANEMA;2012-01-03;11598.0;7854.0;67.72000122070312
PARNAIBA;2012-01-03;264.0;89.0;33.709999084472656
SAO FRANCISCO;2012-01-03;52835.0;31829.0;60.2400016784668
TIETE;2012-01-03;7353.0;3936.0;53.529998779296875
TOCANTINS;2012-01-03;47794.0;28025.0;58.63999938964844
URUGUAI;2012-01-03;5905.0;2521.0;42.689998626708984
AMAZONAS;2012-01-04;312.0;67.0;21.450000762939453
CAPIVARI;2012-01-04;385.0;307.0;79.70999908447266
DOCE;2012-01-04;13.0;11.0;87.45999908447266
GRANDE;2012-01-04;51488.0;35430.0;68.80999755859375
IGUACU;2012-01-04;10248.0;6188.0;60.380001068115234
JACUI;2012-01-04;3197.0;2125.0;66.47000122070312
JEQUITINHONHA;2012-01-04;3024.0;2633.0;87.06999969482422
PARAGUACU;2012-01-04;304.0;102.0;33.52000045776367
PARAGUAI;2012-01-04;563.0;257.0;45.65999984741211
PARAIBA DO SUL;2012-01-04;7360.0;4978.0;67.62999725341797
PARANA;2012-01-04;6059.0;3450.0;56.939998626708984
PARANAIBA;2012-01-04;75422.0;45182.0;59.90999984741211
PARANAPANEMA;2012-01-04;11598.0;7846.0;67.6500015258789
PARNAIBA;2012-01-04;264.0;88.0;33.33000183105469
SAO FRANCISCO;2012-01-04;52835.0;32386.0;61.29999923706055
TIETE;2012-01-04;7353.0;3994.0;54.310001373291016
TOCANTINS;2012-01-04;47794.0;28287.0;59.189998626708984
URUGUAI;2012-01-04;5905.0;2513.0;42.560001373291016
AMAZONAS;2012-01-05;312.0;71.0;22.729999542236328
CAPIVARI;2012-01-05;385.0;306.0;79.44999694824219
DOCE;2012-01-05;13.0;11.0;87.45999908447266
GRANDE;2012-01-05;51488.0;35993.0;69.91000366210938
IGUACU;2012-01-05;10248.0;6158.0;60.09000015258789
JACUI;2012-01-05;3197.0;2115.0;66.16000366210938
JEQUITINHONHA;2012-01-05;3024.0;2644.0;87.43000030517578
PARAGUACU;2012-01-05;304.0;102.0;33.52000045776367
